STT,Ten_quan,Dia_chi,Gio_mo_cua,Phong_cach,Gia,Thoi_diem,Huong_di,Doi_tac,MÓN ĂN NỔI BẬT,Link_drive
1,Cà Phê Capulus,90 Tô Ngọc Vân,07:00–16:00,Hiện đại,~35k - 40k,View Check In,Trung Tâm,,Cà phê sữa,Cà Phê Capulus
2,Cà Phê Linh Lam,14/1 Khởi Nghĩa Bắc Sơn,07:00–17:00,Vintage,~25k - 50k,View Check In,Trung Tâm,,Matcha -cà phê-Latte,Cà Phê Linh Lam
3,Cà Phê Đợi Một Người,24 Yersin,07:30–22:00,Hiện đại,~55k - 99k,View Check In,Trung Tâm,,Matcha -cà phê-trà sữa,Cà Phê Đợi Một Người
4,Cà Phê Đi,02 Khởi Nghĩa Bắc Sơn,07:30–15:00,Vintage,~25k,View Check In,Trung Tâm,,Matcha -cà phê,Cà phê đi 
5,Đậm Cà Phê,138 Yersin,07:00–22:00,Hiện đại,~60k - 65k,View Check In,Trung Tâm,,Matcha -cà phê robusta,Đậm Cà Phê
6,Gạt tàn đời ,19 Đặng Thái Thân,07:00–21:00,Vintage,~30k - 55k ,View Check In,Trung Tâm,,Cà phê- trà trái cây,Gạt Tàn Đời
7,Gấp Gáp Cà Phê,17/4 Bà Triệu,08:00–20:00,Hiện đại,~55k,View Check In,Trung Tâm,,Matcha -cà phê-nước ép,Gấp gáp 
8,La Lapine Cà Phê,86 Ba Tháng Hai,06:30–22:00,Châu Âu,~45k ,View Check In,Trung Tâm,,Sữa gạo-bánh ngọt,La Lapine Cà Phê
9,Quyền Cà Phê,Đường Cô Giang,06:30–11:00,Hiện đại,~25k - 40k,View Check In,Trung Tâm,,Cà phê,Quyền Cà Phê
10,Nhà Nhãn Cà Phê,51/4 Quang Trung,07:00–11:00,Vintage,~25k - 45k,View Check In,Trung Tâm,,Cà phê-trà trái cây-kombucha,Nhà Nhãn 
11,Cà Phê Ngủ Ngày,82 Nguyễn Thị Nghĩa,07:00–21:00,Vintage,~45k - 60k,View Check In,Trung Tâm,,Cà phê-Cold brew,Cà Phê Ngủ Ngày
12,Hai Người Coffee,6A Cô Giang,07:00–17:30,Vintage,~35k - 65k,View Check In,Trung Tâm,,Matcha -cà phê,Hai Người Coffee
13,Bản Cà Phê,"Hẻm 29 3/4, Phường 3, Đà Lạt",06:30–23:30,Vintage,~35k - 55k,View Check In,Trung Tâm,,Matcha -cà phê,Bản cà phê
14,Chip Corner,16/3 Hẻm 1 - Khởi Nghĩa Bắc Sơn,08:00–19:00,Vintage,~50k - 65k,View Check In,Trung Tâm,,Matcha,Chip Corner
15,1/2 Cricle Coffee,04 Đặng Thái Thân,07:30–18:00,Vintage,~75k - 95k,View Check In,Trung Tâm,,Cà phê Robusta,1/2 Cricle Coffee
16,A Dopo Cà Phê,32/2 3 Tháng 4,07:30–22:00,Hiện đại,~65K - 70K,View Check In,Trung Tâm,,Cà phê - Kombucha,A Dopo Cà Phê
17,W.A.I? cà phê,72 Trần Thái Tông,07:30–18:00,Hiện đại,~50k - 65k,View Check In,Trung Tâm,,Trà trái cây-Latte,W.A.I? cà phê
18,Matcha 3 Con Mèo,05 Yagout,7:30-22:00,Hiện đại,~35k - 90k,View Check In,Trung Tâm,,Matcha-cà phê,3 con mèo 
19,Ngày Bình Thường Cà Phê,84/6 Trần Quang Khải,07:30–19:30,Hiện đại,~45k - 70k,View Check In,Trung Tâm,,Matcha-cà phê-kombucha,Ngày Bình Thường 
20,Lài cà phê,Hẻm 12 Phù Đổng Thiên Vương,07:30–21:30,Vintage,~22k - 45k,View Check In,Trung Tâm,,Trà sữa-cà phê,Lài cà phê 
21,Cái Cốc Mẻ,15 Ngô Huy Diễn,07:01–13:00,Vintage,~45k - 70k,View Check In,Trung Tâm,,Cà phê vỏ chanh mặn,cái cốc mẻ 
22,Đương Cà Phê,152 Phạm Ngọc Thạch,08:00–20:00,Vintage,~45k - 65k,View Check In,Trung Tâm,,Cà phê sữa-Kombucha,Đương Cà Phê
23,Là Thơ,Hẻm 15 Trần Nhân Tông,08:00–18:00,Vintage,~35k - 45k,View Check In,Trung Tâm,,Cà phê ,Là THƠ
24,Le J Cà Phê,Hẻm 51 Yersin,07:30–17:00,Vintage,~45k - 95k,View Check In,Trung Tâm,,Matcha-cà phê,Le J Cà Phê
25,Cà Phê Mười,112 Đường Lý Tự Trọng,06:00–22:00,Vintage,~55k - 65k,View Check In,Trung Tâm,,Cà phê-sữa gạo,cà phê Mười 
26,Gạch Cà Phê,41 Sương Nguyệt Anh,06:30–22:00,Hiện đại,~45k - 55k,View Check In,Trung Tâm,,Cà phê-cacao,Gạch Cà Phê
27,Mirk cà phê,07 Lý Tự Trọng,07:30–21:30,Hiện đại,~35k - 75k,View Check In,Trung Tâm,,Matcha,Mrik cà phê
28,Thi Tuấn Cà phê,03 Yagout,07:00–22:00,Vintage,~30k - 60k,View Check In,Trung Tâm,,Cà phê-bánh flan,Thi Tuấn Cà phê
29,Miền Du Mục,Đường Lâm Vạn Thạnh,05:00 - 21:00,Hiện đại,~75k ,Săn Mây,Trại Mát - Cầu Đất,X,"Trà trái cây, cà phê sữa",Miền Du Mục
30,Mê Lá,27 Thi Sách,07:00 - 22:00,Vintage,~20k - 45k,View Check In,Trung Tâm,X,"Cà phê sữa đá, bánh waffle",Mê Lá 
31,Tiệm cà phê Bình Minh Ơi,89 Hoàng Hoa Thám,04:30 - 22:00,Hiện đại,~75k,Bình Minh,Trung Tâm,,"Bạc xĩu nóng, cà phê",Bình Minh Ơi- Hoa Xương Rồng
32,Tiệm cà phê trứng Cô Ba,105 Hai Bà Trưng,06:30 - 23:30,Vintage,~65K - 70K,View Check In,Trung Tâm,,"Cà phê trứng, cacao trứng",Tiệm cà phê trứng Cô Ba
33,Tiệm cà phê Cheo veoo,116 Hùng Vương,07:30 - 20:00,Vintage,~45k - 70k,Hoàng Hôn,Trung Tâm,,Cà phê,Tiệm cà phê Cheo veoo
34,Cà phê Bình Bông Bụp,Hẻm 10 Xô Viết Nghệ Tĩnh,07:30 - 17:00,Vintage,~55k - 80k,View Check In,Trung Tâm,,"Trà thảo mộc, cà phê sữa",bình bông bụp 
35,Cà phê Tiệm may Nhớ Hoài,09 Trần Hưng Đạo,06:00 - 22:00,Vintage,~35k - 60k,View Check In,Trung Tâm,,"Trà đào cam sả, cà phê",Nhớ Hoài
36,Still Cafe,59 Nguyễn Trãi,08:00 - 21:00,Châu Âu,~65k - 79k,View Check In,Trung Tâm,,"Mattcha latte, tà trái cây",Still Cafe
37,Cây cam ngọt,Hẻm 50 Khe Sanh,07:30 - 18:00,Hiện đại,~45k - 59k,View Check In,Đèo Mimosa,,"Trà cam đào, Mattcha latte",Cây cam ngọt
38,Quán Văn,8B Triệu Việt Vương,08:00 - 21:30,Hiện đại,~40k - 45k,View Check In,Trung Tâm,,"Cà phê muối, trà trái cây",Quán Văn
39,Si Dalat,42 Phù Đổng Thiên Vương,06:00 - 21:30,Châu Âu,~30k - 45k,View Check In,Trung Tâm,,"Trà sữa, cà phê",Si Dalat
40,Papacino,6B Trần Hưng Đạo,08:00 - 22:00,Châu Âu,~30k - 75k,View Check In,Trung Tâm,,"Trà sữa, Mattcha latte",Papacino
41,Quấn Quýt,172/3 Nguyễn Văn Trỗi,08:00 - 21:00,Hiện đại,~25k - 39k,View Check In,Trung Tâm,,Trà quýt mật ong,Quấn Quýt
42,Mountain Chill,118 Hùng Vương,06:00 - 22:00,Hiện đại,~75k,Hoàng Hôn,Trại Mát - Cầu Đất,,"Trà trái cây, Matcha latte",Mountain Chill
43,Dốc Thị,108 Hùng Vương,06:00 - 19:30,Hiện đại,~100k,View Check In,Trại Mát - Cầu Đất,,"Cà phê muối, trà trái cây",Dốc Thị
45,Hoàng Hôn Chiều,"Dốc số 9, Trại Mát",05:00 - 20:00,Hiện đại,~75k,Săn Mây,Trại Mát - Cầu Đất,,"Cà phê, trà trái cây",Hoàng Hôn Chiều
46,Góc của Tùng,32/2 đường 3/4,07:00 - 22:00,Vintage,~45k - 70k,Hoàng Hôn,Đèo Prenn,,"Trà sữa, chocolate",Góc của Tùng
47,OLLIN Coffee,09 Nguyễn Chí Thanh,07:00 - 23:30,Châu Âu,~70k,View Check In,Trung Tâm,,"Cà phê kem béo, Matcha latte",OLLIN Coffee
48,Ô cửa mùa đông,88 Đồng Tâm,07:00 - 22:00,Hiện đại,~25k - 59k,View Check In,Trung Tâm,,Cacao nóng,Ô cửa mùa đông
49,Gấu chạy bộ,83 Yersin,08:00 - 22:00,Hiện đại,~28k - 75k,View Check In,Trung Tâm,,"Trà trái cây, trà sữa, bingsu",Gấu chạy bộ
51,Đi Cùng Mưa,KDL Cáp Treo,07:00 - 21:00,Hiện đại,~150K,Bình Minh,Đèo Prenn,,"Cà phê, trà trái cây",Đi Cùng Mưa
52,La Crème ,17 Phù Đổng Thiên Vương,08:00 - 22:00,Châu Âu,~45k - 60k,View Check In,Trung Tâm,,Trà sữa kem cheese,La Crème 
53,Chuyện của nắng,"Lộc Quý, Xuân Thọ",05:00 - 21:00,Hiện đại,~100K,Săn Mây,Trại Mát - Cầu Đất,,Trà trái cây,Chuyện của nắng
54,Thác mây & chill,"Dốc số 9, Trại Mát",05:00 - 19:00,Hiện đại,~65k - 80k,Săn Mây,Trại Mát - Cầu Đất,,"Trà trái cây, mattcha latte",Thác mây & chill
55,Trạm ký ức,87 Huỳnh Tấn Phát,07:00 - 22:00,Hiện đại,~120k,Hoàng Hôn,Trại Mát - Cầu Đất,,"Trà trái cây, mattcha latte",Trạm ký ức
56,Him Cafe,2/2 2 đường Khởi Nghĩa Bắc Sơn,07:30 - 21:30,Vintage,~59k,Hoàng Hôn,Trung Tâm,,"Trà, bánh ngọt",Him Cafe
59,Tiệm Cà Phê Nhà Của Thông,Tổ 45 Khu Phố 4,07:00 - 19:00,Mộc Mạc,~45k - 70k,View Check In,Trại Mát - Cầu Đất,,Trà hoa cúc,Tiệm Cà Phê Nhà Của Thông
60,Tiệm Cà Phê Trại Mèo Mướp,Đèo Mimosa,07:00 - 17:00,Vintage,~80k,View Check In,Đèo Mimosa,,"Trà sữa, sữa tươi trân châu.",Tiệm Cà Phê Trại Mèo Mướp
61,Soho Coffee,21 Hoàng Hoa Thám,05:00 - 22:00,Hiện đại,~49k - 69k,Bình Minh,Trung Tâm,,Các dòng đá xay,Soho Coffee
62,Tiệm Cà Phê Túi Mơ To,Hẻm 31 Sào Nam,07:30 - 21:30,Vintage,~45k - 70k,Hoàng Hôn,Trại Mát - Cầu Đất,,Cà phê trứng,Túi Mơ To
63,Tiệm Cà Phê Nắng Thuỷ Tinh,"Cầu Suối Dục, QL20, Xuân Trường",07:00 - 17:00,Vintage,~45k - 65k,View Rừng Thông,Trại Mát - Cầu Đất,,Matcha đá xay,Tiệm Cà Phê Nắng Thuỷ Tinh
64, In The Forest,31d Khe Sanh,08:00 - 21:00,Châu Âu,~45k - 55k,View Rừng Thông,Đèo Mimosa,,Mẹt gà nướng, In The Forest
65,Suối Bình Yên,Đ. Hoa Cẩm Tú Cầu,07:00 - 18:00,Á Đông,~150K,View Check In,Đèo Prenn,,"Nước sấu, trà sen.",suối bình yên 
66,Cala Lily Dalat,"Hẻm 55, Hàn Thuyên",08:00 - 18:00,Châu Âu,~50k - 79k ,View Check In,Trung Tâm,,Bánh Scone,Cala Lily Dalat
67,Tiệm Cà Phê Tavi,Phước Thành,05:00 - 22:00,Hiện đại,~60k - 69k,View Check In,Trung Tâm,,Trà trái cây nhiệt đới,Tiệm Cà Phê Tavi
68,Haiyih Coffee,Trạm Hành,05:00 - 18:00,Hiện đại,~39k - 65k,View Rừng Thông,Trại Mát - Cầu Đất,,Cacao hạt phỉ,Haiyih Coffee
69,Tiệm Cà Phê Nàng,18/2 Đường Khởi Nghĩa Bắc Sơn,05:30 - 22:00,Vintage,~89k,View Check In,Trung Tâm,,Trà dâu tây Đà Lạt tươi,tiệm cà phê Nàng 
70,Trông Trại Trà,12 Trần Nhân Tông,07:30 - 22:00,Á Đông,~55k,View Check In,Trung Tâm,,Trà oolong nguyên chất,Trông Trại Trà
71,R1998,24B/1 Hùng Vương,07:00 - 22:00,Vintage,~60k - 75k,View Check In,Trung Tâm,,Cacao trứng,R1998
72,Vịnh Cafe,1D Nam Kỳ Khởi Nghĩa,07:00 - 22:00,Địa Trung Hải,~40k - 75k,View Check In,Trung Tâm,," Trà vải, trà đào",Vịnh Cafe
73,Sitooterie,Hẻm 2/35 Khởi Nghĩa Bắc Sơn,08:00 - 19:00,Tối Giản,~55k - 75k,View Check In,Trung Tâm,,"Cà phê muối, Cold Brew",Sitooterie
74,Em Koffie,5A Pasteur,10:00 - 22:00,Hiện đại,~55k,View Check In,Trung Tâm,,Cà phê pha máy ,Em Koffie
75,Thô's Artisan Coffee,10 Phan Bội Châu,06:00 - 22:00,Hiện đại,~35k - 70k,View Check In,Trung Tâm,,Cà phê Thủ công,Thô's Artisan Coffee
76,Nook ,Đồi Dã Chiến,07:00 - 19:30,Hiện đại,45k - 70k,Hoàng Hôn,Trại Mát - Cầu Đất,,Nước ép và sinh tố trái cây mix,Nook 
77,Shancha,61 Đ. Ba Tháng Hai,09:00 - 22:00,Vintage,~35k - 75k,View Check In,Trung Tâm,,"Trà trái cây nhiệt đới, bánh ngọt",Shancha
79,Nơi Bestis Coffee,49/2D Phạm Hồng Thái,08:00 - 18:30,Hiện đại,~49k - 55k,View Check In,Trung Tâm,,Trà sữa trân châu ,Nơi Bestis Coffee
80,Tiệm Cà Phê Tỏi Đen,15A Trần Hưng Đạo,07:00 - 21:00,Hiện đại,~30k - 59k,View Check In,Trung Tâm,,Cà phê Tỏi Đen ,Tiệm Cà Phê Tỏi Đen
81,Đo Đo,"31/8 C, 3 Tháng 4",07:00 - 21:00,Vintage,~35k - 55k,View Check In,Trung Tâm,, Nước mận ngâm,Đo Đo
82,Thái Fien by 15.22 Cafe,79 Nguyễn Văn Trỗi,05:30 - 21:00,Châu Âu,,View Check In,Trung Tâm,,Trà hoa theo set ấm nóng,Thái Fien by 15.22 Cafe
83,Thung Mơ Garden,"Tổ 5 thôn 5, Tà Nung",08:00 - 17:00,Châu Âu,,View Check In,Tà Nung,,Nước ép cà rốt tươi,Thung Mơ Garden
84,Quán Của Thời Thanh Xuân,09 Triệu Việt Vương,07:30 - 22:00,Mộc Mạc,,View Check In,Trung Tâm,,Trà thảo mộc không tên,Quán Của Thời Thanh Xuân
85,Thuê Cà Phê,348/3 Phan Đình Phùng,08:00–23:00,Hiện đại,,View Check In,Trung Tâm,,Trà sữa Thuê,Thuê Cà Phê
86,Tiệm Cà Phê Nhà Bên Rừng, Tổ Tây Hồ 2,06:00 - 19:30,Châu Âu,,View Check In,Trại Mát - Cầu Đất,,"Cà phê muối, trà dâu tằm",Tiệm Cà Phê Nhà Bên Rừng
87,Lưng Chừng Coffee,31/8 Đ.3/4,07:00 - 19:00,Mộc Mạc,,View Rừng Thông,Đèo Prenn,,"Trà dâu tằm, nước mơ",Lưng Chừng Coffee
88,Gió Đà Lạt The Coffee,33 Hoàng Hoa Thám,06:00 - 19:00,Châu Âu,,Hoàng Hôn,Trung Tâm,,Bạc xỉu ba tầng,Gió Đà Lạt The Coffee
89,Kiến Coffee,38 Đ.Nguyễn Siêu,06:00 - 22:00,Mộc Mạc,,View Check In,Trung Tâm,,Cà phê rang mộc,Kiến Coffee
90,Bình Minh Ơi,89 Hoàng Hoa Thám,06:30 - 22:00,Độc Đáo,,Bình Minh,Trung Tâm,X,"Trà hoa rồng, nước ép thanh long",Bình Minh Ơi- Hoa Xương Rồng
91,Pétit Dưỡng,114 Lý Tự Trọng,07:00 - 22:00,Độc Đáo,,View Check In,Trung Tâm,,Nước thanh lọc (Detox),Pétit Dưỡng
92,Dream Garden Coffee,"Thôn 03, Tà Nung ",06:30 - 17:30,Châu Âu,,View Check In,Tà Nung,,Trà sữa nướng,Dream Garden Coffee
93,Tiệm Cà Phê Tách,Lâm Văn Thạnh,07:30 - 19:00,Tối Giản,,Săn Mây,Trại Mát - Cầu Đất,,Bạc xỉu cốt dừa,Tiệm Cà Phê Tách
94,Hoa Cafe,49/23/3 Phạm Hồng Thái,07:30 - 17:00,Tối Giản,,View Check In,Trung Tâm,,Cà phê trứng,Hoa Cafe
95,Quán Đương ,152 Phạm Ngọc Thạch,08:00 - 20:00,Tây Nguyên,,View Check In,Trung Tâm,,Trà gừng mật ong,Quán Đương 
96,Tiệm Cà Phê Vùng Ngoại Ô,"Tổ 03 Đa Quý, Xuân Thọ",05:00 - 19:00,Mộc Mạc,,Săn Mây,Trại Mát - Cầu Đất,,Trà Atiso nóng,Tiệm Cà Phê Vùng Ngoại Ô
97,Waken Beans Coffee,04 Ngô Thị Sỹ,06:30 - 22:30,Hiện đại,,Hoàng Hôn,Trung Tâm,,Cà phê kết hợp nước trái cây,Waken Beans Coffee
98,The Hiên,25/30 Đ. Nhà Chung,07:30 - 22:00,Á Đông,,View Check In,Trung Tâm,,Bánh Ngọt,The Hiên
99,Friends.Cafe,DaLat Center,07:00 - 22:00 ,Hiện đại,,View Check In,Trung Tâm,,"Cà phê, trà sữa, latte",https://drive.google.com/drive/folders/1p3VqtGnmv_Oi2WVdxKifP9BNNi1KDof1?hl=vi
98,,,,,,,,,,
