STT,Ten_quan,Dia_chi,Gia,Link_drive
1,Vịnh Mây Hotel,65/90 Hoàng Hoa Thám,450k - 700k,Vịnh Mây Hotel
2,"The Gate Boutique Hotel
",28 Đường Đặng Thái Thân,400k - 650k,"""The Gate Boutique Hotel """
3,Payon Villa Dalat,Hẻm 65B Hoàng Hoa Thám,300k-500k,Payon Villa Dalat
4,Stella View Hotel,180  Bùi Thị Xuân,600k - 900k,Stella View Hotel
5,Benny Villa,80/13/5 Trịnh Hoài Đức,600k - 1.200k,Benny Villa
6,Cloudy Hillside boutique,81 Hoàng Hoa Thám,550k - 850k,Cloudy Hillside boutique
7,The Kupid,47 Đường Đặng Thái Thân,600k - 1.200k,The Kupid
8,Ngọc Trai Vàng,52 Đoàn Thị Điểm,300k - 450k,Ngọc Trai Vàng
9,Perfect Homestay,T17 Nguyễn Trung Trực,250k - 400k,Perfect Homestay
10,My House homestay,54/5 Phạm Ngọc Thạch,300k - 450k,My House homestay
11,Túi Ba Gang,63 Ba Tháng Hai,350k - 550k,Túi Ba Gang
12,Là Mơ homestay,10 Nguyễn Hữu Cảnh,300k - 500k,Là Mơ homestay
13,Bình An Hotel,06 Nguyễn Chí Thanh,350k - 500k,Bình An Hotel
14,Moonhill homestay,Hẻm 65B Hoàng Hoa Thám,350k - 550k,Moonhill homestay
15,Savio Hotel,36/9b Hoàng Hoa Thám,450k - 700k,Savio Hotel
16,Pontus Hotel,11 Nam Kỳ Khởi Nghĩa,500k - 800k,Pontus Hotel
17,The Palette 2,B11 KQH Phạm Hồng Thái,450k - 700k,The Palette 2
18,Cozy view house,Đường Tô Hiến Thành,400k - 600k,Cozy view house
19,Memory Inn,27A Đường Đặng Thái Thân,450k - 650k,Memory Inn
20,Ơi Home,23 Lê Hồng Phong,300k - 500k,Ơi Home
21,Ami hotel Dalat,40 Tô Hiến Thành,600k - 1.100k,Ami hotel Dalat
22,Teak House Đà Lạt,"Phường 3,Đà Lạt",500k - 900k,Teak House Đà Lạt
23,Amelia House,1/5 Nguyễn Đình Chiểu,400k - 650k,Amelia House
24,QR Hotel,73  An Bình,400k - 600k,QR Hotel
25,Lens Hotel,113 Bùi Thị Xuân,650k - 1.100k,Lens Hotel
26,The Manor Villas Dalat,6B Đống Đa,1.200k - 2.500k,The Manor Villas Dalat
27,Icon the homestay,26/7/4 Lữ Gia,400k - 650k,Icon the homestay
28,"Aurora Hotel Dalat
",44 Tô Hiến Thành,500k - 800k,"""Aurora Hotel Dalat """
29,Gaun hill villa,36/45 Hoàng Hoa Thám,600k - 1.000k,Gaun hill villa
30,The Luxe Hotel,17 Ba Tháng Tư,600k - 1.000k,The Luxe Hotel
31,Villa Trà My - Đà Lạt,49/10B Phạm Hồng Thái,500k - 900k,Villa Trà My - Đà Lạt
32,Khách Sạn Nam Khang 2 Đalat,59/1 Nguyễn Văn Trỗi,400k - 600k,Khách Sạn Nam Khang 2 Đalat
33,VILLA THOL HOTEL,4A Hoàng Diệu,550k - 850k,VILLA THOL HOTEL
34,Khách sạn Duy Long,02 Triệu Việt Vương,350k - 500k,Khách sạn Duy Long
35,Khách sạn Marguerite,30-32 Nguyễn Chí Thanh,700k - 1.200k,Khách sạn Marguerite
36,TTC Hotel - Đà Lạt,4 Nguyễn Thị Minh Khai,1.100k - 1.600k,TTC Hotel - Đà Lạt
37,GreenMeadow Hotel DaLat,20 Nguyễn Viết Xuân,450k - 700k,GreenMeadow Hotel DaLat
38,Hawaii Hotel Dalat,53 Đồng Tâm,400k - 600k,Hawaii Hotel Dalat
39,Mỹ Kim Villa,58 Pasteur,600k - 1.100k,Mỹ Kim Villa
40,Pha Lê Vàng House,59/4 An Dương Vương,350k - 550k,Pha Lê Vàng House
41,Rinbon Home,40 Võ Thị Sáu,350k - 550k,Rinbon Home
42,Alida Homestay And Coffee,38 Triệu Việt Vương,400k - 650k,Alida Homestay And Coffee
43,Homestay Dưới Gốc Thông,2/2 Khởi Nghĩa Bắc Sơn,450k - 750k,Homestay Dưới Gốc Thông
44,Mercure Dalat Resort,03 Nguyễn Du,2.200k - 3.500k,Mercure Dalat Resort
45,Daisy Stayin Đà Lạt,100/12 Vạn Hạnh,400k - 600k,Daisy Stayin Đà Lạt
46,Nori Homestay,58B Hoàng Văn Thụ,300k - 500k,Nori Homestay
47,Duparc Hotel Dalat,15A Trần Phú,1.200k - 1.800k,Duparc Hotel Dalat
48,Nature hotel,8A Nam Kỳ Khởi Nghĩa,500k - 800k,Nature hotel
49,Misty Valley Đà Lạt,49 Đặng Thái Thân ,450k - 700k,Misty Valley Đà Lạt
50,Du Sam House,91 Phan Bội Châu,400k - 650k,Du Sam House
51,Golden Sun Hotel - Dalat,01 Bà Huyện Thanh Quan,450k - 750k,Golden Sun Hotel - Dalat
52,Amory Dalat Hotel,21 Hồ Xuân Hương,500k - 850k,Amory Dalat Hotel
53,TP Hotel,6B Trần Quang Diệu,400k - 600k,TP Hotel
54,Nắng's Villa & Coffee,Hoàng Hoa Thám,500k - 900k,Nắng's Villa & Coffee
55,Sol Dalat House,1D Hoàng Hoa Thám,450k - 750k,Sol Dalat House
56,The Aratana ,"BL 03, Khu quy hoạch Thái Lâm",1.000k - 2.000k,The Aratana 
57,The Luxe Hotel Đà Lạt,17 đường 3/4,700k - 1.100k,The Luxe Hotel Đà Lạt
58,S-Chill Home,Đường Vạn Thành,400k - 650k,S-Chill Home
59,Homey Villa,47/2 Sương Nguyệt Ánh,700k - 1.300k,Homey Villa
60,MerPerle Dalat Hotel,01 Đ. Hùng Vương,1.900k - 3.000k,MerPerle Dalat Hotel
61,Cloudy Hillside Boutique,81 Hoàng Hoa Thám,550k - 850k,Cloudy Hillside Boutique
62,Âm Ấm Homestay,70/8 Đoàn Thị Điểm,350k - 550k,Âm Ấm Homestay
63,Archy Stayin,89 Nam Hồ,400k - 700k,Archy Stayin
64,Ơi Homestay,82/6 Nguyễn Chí Thanh,300k - 500k,Ơi Homestay
65,Cozy Garden Boutique Hotel,94 Đ. Lữ Gia,500k - 850k,Cozy Garden Boutique Hotel
67,Láye Homestay,15 Đ. Trần Anh Tông,350k - 600k,Láye Homestay
68,Savio Villa,36/9b Hoàng Hoa Thám,700k - 1.500k,Savio Villa
69,Nhà Mận Homestay,C2 Đặng Thái Thân,400k - 650k,Nhà Mận Homestay
71,Dear Me House,91a Triệu Việt Vương,400k - 650k,Dear Me House
72,Icon The Homestay,26/7/4 Đ. Lữ Gia,400k - 650k,Icon The Homestay
73,Dễ Chịu Homestay,Hẻm 10 Nguyễn Hữu Cảnh,300k - 500k,Dễ Chịu Homestay
74,1000m2,70/5 Pasteur,350k - 600k,1000m2
75,Dốc View/ Home,"89B/17, Đ. Đào Duy Từ",350k - 550k,Dốc View/ Home
76,Perfect Homestay Đà Lạt,Nguyễn Trung Trực,250k - 400k,Perfect Homestay Đà Lạt
77,HLS Dalat,35 Đường Đặng Thái Thân,400k - 700k,HLS Dalat
78,Golf Valley,94 Đường Bùi Thị Xuân,1.200k - 1.700k,Golf Valley
81,GaUn Hill Villa,36/45 Hoàng Hoa Thám,600k - 1.000k,GaUn Hill Villa
82,Ty Ty Hotel,06B Nam Kỳ Khởi Nghĩa,400k - 600k,Ty Ty Hotel
85,Homestay Aurora Đà Lạt,50 Sương Nguyệt Ánh,400k - 700k,Homestay Aurora Đà Lạt
87,Homestay Sol Đà Lạt,49/21 Phạm Hồng Thái,400k - 650k,Homestay Sol Đà Lạt
88,The November Stay,31 Xô Viết Nghệ Tĩnh,650k - 1.200k,The November Stay
89,Villa Hotel Thao Nguyen,09 Võ Trường Toản,500k - 850k,Villa Hotel Thao Nguyen
90,Moon Valley Villas,31C Đặng Thái Thân,800k - 1.500k,Moon Valley Villas
91,"The Gate Boutique Hotel 
",28 Đường Đặng Thái Thân,400k - 650k,"""The Gate Boutique Hotel  """
92,"Dalat Boutique PNP Hotel

",14 Huỳnh Thúc Kháng,550k - 900k,"""Dalat Boutique PNP Hotel  """
93,TTR Vincent Hotel,26 Trần Lê,500k - 800k,TTR Vincent Hotel
94,Dreamy Hotel Dalat,Khu Quy Hoạch Hoàng Văn Thụ,400k - 650k,Dreamy Hotel Dalat
95,Queen T&T Hotel,239b Phan Đình Phùng,600k - 950k,Queen T&T Hotel
96,Nature Boutique Hotel,H16 H17 Nguyễn Thị Nghĩa,550k - 850k,Nature Boutique Hotel
97,Homestay Thùy Dương,Hẻm 17 Hùng Vương,300k - 500k,Homestay Thùy Dương
98,Tulip 2 Hotel,14  Nguyễn Chí Thanh,500k - 800k,Tulip 2 Hotel
99,Flower Hill Hotel,21 Lê Hồng Phong,500k - 800k,Flower Hill Hotel
100,Chivas Dalat Hotel,H51 Nguyễn Thị Nghĩa,450k - 750k,Chivas Dalat Hotel
